state,slope_angle,elevation_m,soil_type,fault_dist_km,ndvi,road_cut_idx,rainfall_24h_mm,rainfall_72h_mm,soil_sat_pct,pwp_kpa,tilt_rate_deg_day,pga_seismic_g,layer1_susceptibility,layer2_dynamic_trigger,composite_risk_score,landslide_event
Arunachal Pradesh,43.58,2283.7,1,0.1,0.733,32.1,123.2,207.9,97.3,152.0,1.808,0.015,52.1,77.9,68.9,0
Mizoram,17.93,1567.1,3,0.32,0.739,23.0,56.0,88.6,39.3,48.6,0.034,0.007,40.7,26.5,31.5,0
Arunachal Pradesh,33.33,3588.5,1,6.29,0.5,88.2,152.8,338.3,99.0,166.9,1.368,0.007,47.9,89.0,74.6,1
Sikkim,27.81,2927.6,2,2.66,0.554,57.0,18.5,43.1,26.9,43.1,0.084,0.001,63.4,14.9,31.9,0
Nagaland,39.12,1976.2,2,2.34,0.757,70.4,25.3,49.5,31.7,40.5,0.004,0.0,77.1,19.3,39.5,0
Sikkim,55.3,2070.8,2,0.71,0.726,92.5,142.6,206.0,72.3,87.3,0.022,0.012,91.6,66.7,75.4,1
Meghalaya,37.75,1843.3,2,0.77,0.605,20.5,0.8,1.2,31.8,55.9,0.199,0.012,71.2,12.2,32.9,0
Arunachal Pradesh,43.33,1956.2,3,7.19,0.494,35.1,175.7,311.9,99.0,130.6,2.325,0.025,63.1,97.9,85.7,1
Nagaland,33.52,1851.9,2,7.95,0.682,43.4,75.7,129.3,54.5,79.2,0.222,0.078,62.2,45.7,51.5,0
Arunachal Pradesh,39.09,2990.1,3,3.69,0.798,23.3,88.0,161.9,66.9,97.1,0.077,0.002,60.5,55.5,57.2,0
Manipur,15.1,449.5,2,1.57,0.146,84.0,56.6,121.9,43.3,54.1,0.006,0.0,69.4,27.1,41.9,0
Arunachal Pradesh,25.23,3507.4,1,12.14,0.624,8.3,110.0,162.6,53.1,89.4,0.038,0.001,24.2,48.5,40.0,0
Manipur,20.64,138.8,2,4.4,0.385,23.9,17.9,30.7,22.6,35.3,0.141,0.009,52.5,10.9,25.4,0
Sikkim,40.83,3748.7,2,7.17,0.727,19.1,37.9,95.6,43.2,65.8,0.079,0.032,65.1,31.8,43.5,0
Nagaland,34.29,1013.6,3,0.1,0.657,95.3,72.0,117.7,45.3,77.9,0.076,0.006,62.1,37.0,45.8,0
Sikkim,42.0,2934.1,3,2.69,0.701,62.7,57.1,103.8,64.7,112.9,0.067,0.003,69.1,33.9,46.2,0
Manipur,24.41,757.5,1,9.21,0.686,71.6,1.3,2.7,17.9,22.8,0.002,0.0,28.6,6.8,14.4,0
Arunachal Pradesh,38.54,2286.4,1,1.86,0.715,10.8,69.2,112.7,48.8,78.6,0.046,0.018,44.6,34.7,38.1,0
Arunachal Pradesh,30.29,4126.1,2,5.83,0.569,19.4,95.9,236.2,89.7,122.1,0.209,0.014,57.0,63.6,61.3,0
Meghalaya,35.05,2107.2,3,4.82,0.692,81.0,4.2,6.1,22.0,36.6,0.011,0.023,60.2,5.7,24.8,0
Arunachal Pradesh,43.67,2436.5,1,0.74,0.431,56.8,66.1,132.3,48.7,61.8,0.024,0.021,57.0,41.1,46.6,0
Arunachal Pradesh,35.51,3478.6,2,6.71,0.598,4.5,135.1,292.6,99.0,130.0,1.738,0.022,58.7,88.2,77.9,1
Assam,24.03,762.8,2,0.54,0.804,56.6,8.6,13.5,19.2,25.5,0.007,0.021,64.7,11.4,30.0,0
Tripura,20.71,811.5,2,5.86,0.624,47.5,35.3,83.5,50.4,79.3,0.019,0.004,55.8,28.4,38.0,1
Sikkim,29.16,2043.4,1,21.18,0.443,15.4,36.2,55.6,31.9,51.1,0.022,0.011,26.1,20.7,22.6,0
Assam,34.69,244.2,1,14.26,0.804,59.3,175.0,381.2,99.0,173.4,1.591,0.004,33.7,97.8,75.4,1
Meghalaya,29.61,1890.0,2,7.25,0.546,17.4,104.4,277.4,99.0,123.2,0.466,0.044,56.9,73.4,67.6,0
Sikkim,29.72,3007.4,1,3.44,0.746,81.1,12.4,20.3,29.2,47.1,0.012,0.018,43.6,14.3,24.5,0
Mizoram,27.27,1374.4,1,5.06,0.692,61.8,41.5,91.3,38.4,46.3,0.05,0.03,37.3,24.8,29.2,0
Mizoram,16.39,1255.7,1,5.86,0.69,87.1,23.7,60.6,13.8,20.8,0.027,0.006,33.6,14.1,21.0,0
Tripura,18.42,340.8,2,0.1,0.633,42.5,93.1,158.5,45.5,67.2,0.322,0.035,64.4,50.1,55.1,0
Sikkim,49.7,2339.0,2,0.49,0.351,51.2,6.4,9.1,26.0,31.9,0.009,0.003,92.4,8.8,38.1,0
Mizoram,33.41,1066.1,2,4.09,0.635,76.1,112.0,160.1,52.4,68.8,0.004,0.0,70.8,48.3,56.2,1
Arunachal Pradesh,31.49,3393.5,2,0.1,0.776,54.6,280.0,488.0,99.0,166.4,0.084,0.083,72.8,94.9,87.2,1
Arunachal Pradesh,37.63,2899.6,1,10.78,0.493,57.2,38.7,93.1,48.9,67.5,0.058,0.001,36.4,27.6,30.7,0
Arunachal Pradesh,21.71,3942.6,2,3.03,0.813,55.3,109.3,205.0,84.0,125.1,0.48,0.007,57.4,66.0,63.0,0
Tripura,19.79,181.4,1,1.34,0.766,49.1,23.6,48.9,27.5,39.5,0.08,0.005,32.3,20.4,24.6,0
Nagaland,29.79,2032.9,2,2.25,0.722,80.6,41.7,61.8,29.6,38.8,0.025,0.006,66.7,22.5,37.9,0
Nagaland,38.63,1820.3,1,8.56,0.486,48.5,53.3,140.4,73.0,128.8,0.064,0.005,42.7,45.2,44.3,0
Meghalaya,34.42,1727.6,3,11.79,0.564,90.1,192.5,379.9,99.0,121.9,0.263,0.003,55.1,86.7,75.6,1
Sikkim,30.08,3516.0,1,0.56,0.809,80.9,5.4,13.5,33.6,49.7,0.052,0.03,50.6,7.3,22.4,0
Arunachal Pradesh,45.78,3568.8,3,6.77,0.592,69.2,119.0,169.4,75.8,106.2,0.06,0.028,64.9,55.9,59.0,1
Sikkim,48.74,3052.7,3,3.88,0.347,89.9,33.3,79.3,43.5,69.6,0.002,0.025,74.1,30.8,45.9,0
Sikkim,41.21,1549.2,2,3.96,0.781,53.7,2.6,5.4,16.9,26.8,0.011,0.021,71.7,3.3,27.3,0
Nagaland,30.47,1313.2,3,6.8,0.636,82.2,58.5,103.2,47.0,76.1,0.044,0.013,53.8,37.5,43.2,0
Meghalaya,28.36,834.8,1,1.13,0.54,24.2,210.8,506.3,99.0,148.5,0.418,0.018,43.4,95.0,76.9,1
Arunachal Pradesh,51.87,1678.1,1,3.41,0.705,7.3,75.1,156.7,68.0,86.1,0.017,0.001,48.4,45.4,46.5,0
Arunachal Pradesh,40.52,2990.0,2,1.73,0.394,68.5,13.9,31.2,34.2,51.3,0.104,0.013,85.3,14.2,39.1,0
Arunachal Pradesh,38.81,2868.2,1,0.45,0.688,30.2,72.3,175.7,74.5,128.7,0.074,0.038,47.1,54.2,51.7,1
Sikkim,28.38,1556.7,2,0.5,0.802,63.5,44.5,67.8,56.7,79.2,0.077,0.005,68.6,30.9,44.1,0
Assam,14.93,345.7,2,0.66,0.674,7.7,5.7,13.5,36.1,62.5,0.002,0.025,58.5,13.9,29.5,0
Mizoram,22.34,922.3,1,4.29,0.757,95.6,37.6,75.0,42.3,68.6,0.03,0.002,34.8,31.4,32.6,0
Nagaland,30.37,1804.8,2,0.5,0.809,51.5,102.2,276.2,99.0,175.1,1.75,0.002,63.5,80.4,74.5,1
Meghalaya,28.22,1837.2,1,3.8,0.563,1.0,15.4,40.5,31.9,47.6,0.014,0.027,32.5,18.5,23.4,1
Sikkim,39.21,1797.3,2,3.99,0.492,47.6,48.4,118.8,42.0,57.4,0.131,0.007,70.6,33.9,46.8,1
Arunachal Pradesh,47.47,3459.8,3,10.54,0.676,79.0,1.9,4.6,22.5,28.0,0.001,0.008,63.3,7.7,27.2,0
Manipur,24.06,956.7,2,4.43,0.676,86.5,80.9,213.4,75.7,91.3,0.073,0.016,61.9,57.9,59.3,1
Nagaland,38.17,1166.4,2,19.08,0.679,46.1,10.4,26.1,14.6,25.4,0.001,0.03,66.1,8.2,28.4,0
Arunachal Pradesh,47.23,3996.9,2,0.14,0.7,12.6,42.2,116.0,58.3,89.8,0.022,0.056,81.6,38.0,53.3,0
Meghalaya,26.59,1957.4,3,5.48,0.773,90.6,33.4,87.2,54.9,69.4,0.255,0.006,50.1,30.0,37.0,0
Meghalaya,29.26,803.5,1,0.12,0.753,98.1,35.7,66.5,38.8,54.8,0.044,0.014,52.5,22.2,32.8,0
Mizoram,28.33,2038.6,3,5.88,0.759,6.3,95.7,227.4,99.0,153.6,0.278,0.013,41.5,69.1,59.5,1
Assam,24.39,722.3,2,2.19,0.719,7.8,36.9,96.3,54.0,94.7,0.023,0.008,59.5,33.1,42.3,0
Meghalaya,23.88,883.2,2,4.25,0.77,56.6,41.5,105.3,55.5,91.2,0.127,0.031,58.4,35.6,43.6,0
Meghalaya,42.02,1962.1,3,1.67,0.711,53.4,93.8,213.1,86.7,125.8,0.468,0.011,64.5,61.0,62.2,0
Arunachal Pradesh,34.37,3121.0,3,0.78,0.596,58.9,45.1,95.0,46.2,56.6,0.018,0.012,60.1,31.3,41.4,0
Arunachal Pradesh,28.65,2802.1,2,5.79,0.525,31.7,9.6,14.5,24.1,38.1,0.085,0.001,57.5,5.5,23.7,0
Arunachal Pradesh,34.7,1832.8,1,10.57,0.637,5.0,32.3,59.8,51.1,72.5,0.062,0.015,23.4,28.1,26.4,0
Arunachal Pradesh,35.24,3830.1,3,0.91,0.441,58.0,56.8,127.6,56.5,70.1,0.151,0.037,70.6,36.6,48.5,0
Nagaland,30.66,1607.8,2,11.41,0.662,15.1,111.6,246.6,91.7,155.7,0.644,0.007,52.9,71.3,64.9,1
Nagaland,30.96,912.0,2,0.68,0.75,34.1,183.5,449.5,99.0,174.4,1.341,0.059,63.6,93.5,83.0,1
Arunachal Pradesh,47.14,1629.3,1,5.99,0.659,58.2,91.2,239.6,99.0,150.0,0.191,0.016,43.6,69.2,60.3,1
Nagaland,34.2,1919.8,2,14.42,0.722,20.8,43.1,94.3,63.9,81.1,0.044,0.012,59.1,38.0,45.4,0
Arunachal Pradesh,28.56,1975.5,3,0.72,0.656,54.2,5.9,13.6,41.2,59.5,0.024,0.014,58.1,12.0,28.1,0
Sikkim,35.07,3980.7,2,2.57,0.756,71.5,31.3,62.4,39.1,48.7,0.007,0.008,74.1,21.0,39.6,0
Sikkim,33.31,2754.1,3,1.85,0.533,6.6,10.6,15.8,21.0,35.3,0.006,0.024,63.0,12.3,30.0,0
Sikkim,38.45,3707.1,1,2.21,0.503,61.9,9.7,18.0,35.5,54.1,0.02,0.031,54.6,14.9,28.8,0
Sikkim,37.25,3822.1,1,6.3,0.844,50.9,4.5,9.8,21.9,31.4,0.018,0.0,43.3,8.1,20.4,0
Meghalaya,44.44,968.5,2,4.87,0.758,9.7,19.9,41.6,23.6,38.7,0.019,0.038,69.7,17.3,35.6,0
Sikkim,45.45,2968.3,3,15.59,0.778,70.6,90.9,199.0,91.4,155.5,0.668,0.001,58.5,62.9,61.4,0
Tripura,23.44,707.6,3,0.92,0.73,31.1,41.8,95.1,33.6,56.2,0.028,0.027,49.7,26.2,34.4,0
Arunachal Pradesh,21.11,3035.9,3,3.53,0.593,18.2,68.0,101.7,69.6,117.8,0.024,0.021,47.1,42.3,44.0,0
Arunachal Pradesh,45.08,2195.2,1,2.68,0.606,28.2,5.5,7.8,8.2,14.0,0.064,0.022,51.3,5.8,21.7,0
Arunachal Pradesh,23.43,1831.8,3,11.3,0.616,54.6,142.1,244.3,99.0,146.6,1.131,0.018,39.6,81.3,66.7,1
Mizoram,28.73,1250.6,3,0.1,0.489,58.0,22.1,47.7,15.9,25.4,0.081,0.072,58.9,16.4,31.3,0
Arunachal Pradesh,35.03,3519.6,1,20.36,0.605,17.0,88.5,166.0,74.0,115.0,0.068,0.001,31.2,51.5,44.4,0
Nagaland,39.23,1045.3,2,2.94,0.781,93.7,49.1,108.8,39.8,50.8,0.034,0.027,76.7,29.3,45.9,0
Meghalaya,25.24,994.1,2,4.42,0.656,32.9,30.3,69.6,38.7,52.0,0.166,0.01,61.6,23.1,36.6,0
Meghalaya,30.67,1664.4,2,2.01,0.684,26.8,137.6,226.3,94.5,123.2,0.538,0.017,69.8,73.6,72.3,1
Meghalaya,22.82,1464.2,3,8.61,0.658,18.7,64.2,142.7,58.5,93.0,0.004,0.02,37.6,41.3,40.0,1
Arunachal Pradesh,42.18,3830.9,1,3.71,0.613,12.1,240.1,670.8,99.0,170.1,0.175,0.003,46.3,91.2,75.5,1
Arunachal Pradesh,34.11,4145.8,2,4.89,0.493,98.2,34.6,95.2,60.8,100.5,0.001,0.003,70.4,33.7,46.6,0
Sikkim,39.32,3146.0,1,4.71,0.737,67.5,2.0,3.8,16.6,23.7,0.049,0.004,49.7,5.4,20.9,0
Mizoram,14.3,1602.3,2,2.04,0.639,78.7,102.0,171.8,74.6,119.0,0.01,0.006,55.5,57.0,56.5,1
Arunachal Pradesh,28.91,1744.7,3,0.36,0.535,40.1,61.6,164.5,89.9,130.0,0.015,0.009,55.2,49.8,51.7,1
Arunachal Pradesh,39.58,1996.7,1,7.42,0.735,41.5,22.1,54.1,36.7,50.1,0.039,0.002,34.6,19.8,25.0,0
Tripura,23.82,606.3,2,1.54,0.403,98.7,44.2,76.6,49.2,85.4,0.007,0.01,72.0,29.4,44.3,0
Arunachal Pradesh,50.3,3076.0,3,8.51,0.817,20.1,168.6,314.2,99.0,131.0,1.007,0.051,54.6,91.6,78.6,1
Nagaland,40.9,1056.9,3,4.22,0.434,32.7,107.2,214.8,99.0,156.5,0.184,0.027,65.1,71.2,69.1,1
Nagaland,27.83,1652.9,2,1.96,0.519,19.5,85.5,166.5,72.3,119.3,0.103,0.026,61.7,51.5,55.1,0
Sikkim,39.18,2995.8,1,4.06,0.626,28.3,26.6,60.1,35.5,55.8,0.041,0.009,38.3,18.3,25.3,0
Arunachal Pradesh,44.39,3796.0,2,4.67,0.615,66.4,3.0,7.3,18.0,22.9,0.072,0.018,78.4,7.5,32.3,0
Arunachal Pradesh,40.51,4147.8,3,5.52,0.497,30.9,182.7,485.8,99.0,134.8,1.103,0.006,57.8,92.7,80.5,1
Mizoram,29.62,868.7,3,7.78,0.716,87.6,17.7,29.2,5.0,6.0,0.016,0.01,49.5,7.8,22.4,0
Mizoram,33.27,1972.6,1,0.78,0.68,4.9,57.6,110.1,39.5,65.3,0.002,0.01,44.1,31.5,35.9,0
Nagaland,41.52,1238.1,2,12.98,0.793,35.5,0.1,0.3,17.5,22.9,0.023,0.03,63.8,4.4,25.2,0
Assam,19.73,457.9,1,2.38,0.634,86.1,90.9,215.9,79.5,136.2,0.015,0.015,38.2,59.7,52.2,0
Mizoram,35.59,922.9,1,8.86,0.573,62.1,160.8,427.5,99.0,128.6,0.462,0.01,40.3,88.2,71.4,1
Arunachal Pradesh,40.1,3826.0,2,1.12,0.711,77.1,28.6,68.4,44.9,63.9,0.01,0.004,76.2,28.4,45.1,0
Sikkim,32.51,2459.1,1,0.13,0.728,32.4,29.7,46.3,17.3,22.2,0.025,0.051,44.1,14.4,24.8,0
Manipur,26.16,141.8,1,3.83,0.642,36.9,43.1,103.8,61.5,93.5,0.107,0.009,32.2,31.4,31.7,0
Arunachal Pradesh,37.86,1758.0,3,1.77,0.691,88.8,166.2,239.6,99.0,154.1,0.647,0.008,68.4,84.3,78.7,1
Arunachal Pradesh,35.02,2023.8,2,18.74,0.603,75.0,36.8,80.5,44.4,59.4,0.005,0.009,64.2,24.6,38.5,0
Mizoram,33.65,1687.1,3,0.5,0.777,38.4,3.5,8.1,39.9,57.7,0.101,0.006,60.4,14.1,30.3,0
Sikkim,47.79,2006.2,2,0.22,0.582,21.5,37.5,95.8,54.4,69.1,0.008,0.036,84.5,32.6,50.8,0
Assam,21.03,571.0,3,0.21,0.405,10.6,24.4,54.8,42.3,70.8,0.044,0.024,51.6,21.1,31.8,0
Mizoram,33.08,2077.6,2,1.1,0.767,86.2,175.7,402.2,99.0,165.5,0.601,0.023,72.8,95.0,87.2,1
Arunachal Pradesh,42.08,3482.0,2,3.9,0.728,69.8,16.3,26.2,31.4,42.6,0.01,0.014,72.9,12.2,33.5,1
Assam,24.3,194.9,2,3.17,0.659,60.7,116.2,172.9,67.2,91.3,0.047,0.005,58.2,55.5,56.4,0
Sikkim,35.87,1523.4,1,1.94,0.726,77.7,72.4,111.8,60.6,94.8,0.089,0.012,47.5,41.9,43.8,0
Sikkim,36.87,1927.4,3,0.42,0.484,91.5,17.8,30.6,32.6,51.1,0.074,0.038,72.2,20.3,38.4,0
Sikkim,35.26,4119.4,2,1.2,0.67,76.2,19.5,39.5,40.2,66.0,0.013,0.026,71.0,17.5,36.2,0
Arunachal Pradesh,42.0,3112.7,1,0.92,0.509,42.1,188.6,367.8,99.0,124.5,0.33,0.015,51.1,90.9,77.0,1
Meghalaya,31.88,1106.7,2,6.16,0.425,17.6,4.7,8.6,23.2,37.1,0.041,0.033,59.8,7.7,25.9,0
Arunachal Pradesh,24.36,4156.7,3,6.81,0.769,71.4,52.7,139.4,62.0,101.7,0.001,0.012,52.5,40.7,44.8,0
Sikkim,38.27,1722.4,1,6.75,0.682,24.7,42.3,64.4,33.6,46.0,0.026,0.032,38.4,20.2,26.6,0
Sikkim,38.54,3310.7,1,15.64,0.735,78.3,102.8,164.7,81.6,110.5,0.046,0.016,42.2,57.3,52.0,0
Nagaland,23.63,1861.8,3,9.7,0.605,33.9,45.7,91.9,43.0,68.7,0.043,0.007,40.8,30.4,34.0,0
Nagaland,36.37,921.9,1,3.1,0.715,15.7,134.8,213.2,97.2,123.5,1.056,0.019,40.0,72.1,60.9,1
Arunachal Pradesh,35.61,4115.6,1,2.41,0.303,25.5,279.5,452.2,99.0,151.0,0.5,0.024,48.9,89.4,75.2,1
Sikkim,37.95,3529.2,2,11.13,0.679,26.7,3.1,8.6,30.6,45.9,0.004,0.023,61.7,13.9,30.6,0
Sikkim,34.18,1933.5,2,4.25,0.476,37.9,17.9,37.5,16.9,27.1,0.065,0.026,65.9,12.1,30.9,0
Arunachal Pradesh,29.77,3569.9,2,1.57,0.845,25.7,158.6,245.4,99.0,154.8,0.513,0.045,60.0,82.5,74.6,1
Nagaland,33.15,1098.2,2,3.74,0.631,22.6,22.9,33.7,46.7,78.8,0.076,0.003,64.1,23.4,37.6,0
Mizoram,34.87,1304.1,3,21.81,0.769,39.2,97.6,237.0,85.6,105.9,0.523,0.024,46.8,61.9,56.6,1
Arunachal Pradesh,58.62,3305.4,3,8.52,0.661,86.8,7.4,14.3,19.2,30.5,0.19,0.039,74.8,12.0,34.0,0
Sikkim,33.51,2996.4,3,1.49,0.493,7.0,3.1,5.6,18.8,30.7,0.009,0.009,59.3,8.8,26.5,0
Arunachal Pradesh,44.71,1719.8,2,13.75,0.728,29.6,5.2,12.2,26.4,44.3,0.039,0.01,69.9,15.4,34.5,0
Mizoram,29.9,1452.8,1,17.95,0.544,56.2,276.9,658.6,99.0,140.8,0.795,0.004,37.1,90.6,71.9,0
Arunachal Pradesh,45.49,3284.2,3,1.18,0.472,87.4,66.7,127.1,64.9,89.3,0.014,0.017,84.0,41.9,56.6,1
Tripura,23.4,111.6,1,10.17,0.707,28.4,47.5,129.6,71.3,113.9,0.072,0.058,26.3,40.4,35.5,0
Nagaland,28.4,1127.2,3,9.66,0.752,34.9,26.1,51.2,47.5,71.7,0.117,0.005,39.3,19.8,26.6,0
Sikkim,29.14,4099.2,1,0.18,0.682,79.8,176.3,340.6,99.0,141.2,0.345,0.033,47.0,91.6,76.0,1
Meghalaya,22.75,2101.6,3,4.98,0.831,37.3,15.7,39.0,31.4,51.6,0.036,0.005,54.4,17.2,30.2,0
Manipur,25.92,766.5,3,1.64,0.632,85.2,1.3,3.4,35.1,52.2,0.029,0.003,61.7,11.6,29.1,0
Meghalaya,26.24,1079.2,2,5.05,0.563,45.5,62.1,112.0,35.2,52.0,0.013,0.018,59.1,33.7,42.6,0
Arunachal Pradesh,25.56,4121.9,1,11.02,0.523,56.9,194.2,459.2,99.0,140.1,0.423,0.02,33.5,91.5,71.2,1
Sikkim,46.18,2435.5,1,3.11,0.357,56.1,25.7,58.9,42.0,51.7,0.064,0.03,50.6,21.5,31.7,0
Manipur,20.25,874.8,2,2.41,0.648,11.9,17.6,25.4,14.9,25.3,0.196,0.016,56.1,12.0,27.4,0
Mizoram,30.34,1884.6,1,11.45,0.72,35.5,103.4,173.0,71.1,99.9,0.088,0.01,31.4,60.2,50.1,1
Mizoram,36.99,1853.2,2,16.44,0.556,24.2,5.8,9.0,26.5,38.8,0.12,0.003,59.6,5.8,24.7,0
Manipur,18.23,519.0,2,0.29,0.771,68.3,6.9,18.1,23.1,29.3,0.081,0.012,61.4,8.3,26.9,0
Manipur,23.69,878.5,2,11.53,0.524,93.4,110.4,302.3,99.0,155.3,0.857,0.03,57.3,76.7,69.9,1
Manipur,16.92,861.2,2,0.39,0.692,21.2,3.4,8.7,20.0,31.1,0.034,0.054,59.1,12.1,28.5,0
Arunachal Pradesh,49.41,1626.8,2,1.85,0.807,9.1,87.6,160.8,66.3,91.7,0.015,0.023,79.9,50.7,60.9,0
Meghalaya,27.42,1200.6,1,6.47,0.786,50.7,139.4,363.1,99.0,140.1,0.317,0.033,35.9,83.1,66.6,0
Nagaland,36.41,1490.5,3,6.75,0.676,39.1,4.9,7.2,23.8,39.3,0.024,0.023,54.0,11.4,26.3,0
Nagaland,39.9,1562.7,3,5.82,0.76,3.6,68.1,160.7,53.5,81.3,0.016,0.005,59.2,40.2,46.9,1
Mizoram,12.7,1264.1,2,0.18,0.681,92.2,46.1,72.6,47.2,63.7,0.031,0.037,64.7,28.8,41.4,0
Arunachal Pradesh,42.48,2579.9,1,0.64,0.716,94.0,155.2,220.0,76.2,117.2,0.055,0.028,56.8,68.4,64.3,1
Nagaland,27.54,1508.2,3,12.39,0.704,85.0,4.0,6.5,20.9,36.0,0.043,0.005,48.4,10.9,24.1,0
Nagaland,36.95,1790.6,1,0.38,0.66,28.1,41.5,114.1,37.7,67.8,0.027,0.014,46.0,32.0,36.9,0
Arunachal Pradesh,40.12,1622.7,1,0.37,0.216,12.2,218.9,537.6,99.0,124.2,0.009,0.054,54.8,89.2,77.1,1
Meghalaya,35.45,1566.3,2,8.13,0.507,59.2,24.6,52.2,20.3,29.8,0.006,0.023,71.6,16.3,35.6,0
Arunachal Pradesh,37.75,2741.0,1,4.61,0.729,28.2,160.7,435.7,99.0,145.3,0.215,0.046,40.4,87.4,70.9,1
Sikkim,48.21,2120.5,1,1.95,0.556,20.2,78.9,156.4,73.7,130.1,0.011,0.006,48.1,46.2,46.9,0
Arunachal Pradesh,27.08,1783.3,3,0.82,0.681,64.1,10.6,15.5,26.9,47.2,0.181,0.035,62.2,15.3,31.7,0
Sikkim,47.17,2290.4,2,9.7,0.775,75.0,8.5,19.0,38.9,57.1,0.033,0.004,73.0,12.8,33.9,0
Meghalaya,16.89,2177.7,3,20.11,0.68,52.7,171.3,438.5,99.0,134.7,0.442,0.03,35.7,90.1,71.1,1
Mizoram,28.51,944.6,1,0.23,0.595,32.0,48.1,86.6,43.0,68.3,0.164,0.022,41.3,31.6,35.0,0
Mizoram,19.68,1164.9,3,3.63,0.78,51.3,109.4,201.8,93.1,118.4,0.638,0.033,47.7,63.7,58.1,1
Nagaland,32.56,1851.5,2,1.36,0.56,60.0,18.3,42.8,55.6,73.5,0.002,0.028,70.1,18.3,36.5,0
Arunachal Pradesh,32.86,2028.4,1,8.04,0.806,5.2,10.2,25.7,32.9,55.6,0.017,0.013,32.5,14.0,20.5,0
Arunachal Pradesh,41.86,1670.8,3,1.91,0.686,44.4,104.7,210.1,79.8,135.8,0.043,0.047,69.4,66.3,67.4,1
Manipur,23.31,428.4,3,5.64,0.61,59.8,21.8,33.2,29.2,50.9,0.024,0.01,48.5,12.5,25.1,0
Arunachal Pradesh,36.99,2920.8,1,3.49,0.679,12.9,125.2,306.1,99.0,163.1,0.62,0.011,39.5,84.5,68.7,1
Tripura,23.01,419.7,3,3.51,0.676,44.9,202.3,404.0,99.0,128.7,0.031,0.029,56.1,92.5,79.8,1
Manipur,21.85,997.8,2,8.78,0.395,34.7,25.1,67.3,19.0,26.1,0.098,0.033,50.5,18.1,29.4,0
Meghalaya,32.44,1884.6,3,2.86,0.757,86.8,23.9,42.0,34.5,51.0,0.043,0.008,59.9,18.4,32.9,0
Tripura,19.1,421.1,3,8.41,0.631,48.9,26.5,54.3,44.3,61.6,0.141,0.015,44.9,21.5,29.7,0
Arunachal Pradesh,16.19,4161.1,1,2.03,0.482,42.6,59.1,141.3,64.5,98.1,0.043,0.004,36.8,43.9,41.4,0
Sikkim,34.26,1532.7,1,0.86,0.745,24.4,35.9,62.7,30.4,38.3,0.043,0.001,43.6,20.3,28.5,0
Mizoram,44.53,1528.7,2,2.74,0.669,95.7,15.3,26.2,47.2,83.5,0.018,0.01,82.5,20.1,42.0,0
Sikkim,38.14,1992.6,3,3.1,0.745,96.1,65.9,159.5,67.4,120.5,0.034,0.058,65.6,47.7,54.0,1
Assam,22.13,119.9,2,2.93,0.8,36.7,229.8,379.6,99.0,123.2,0.271,0.006,62.1,88.6,79.3,1
Arunachal Pradesh,43.6,4190.7,2,7.43,0.664,92.9,136.9,214.5,82.2,100.7,1.029,0.001,74.2,71.1,72.2,1
Meghalaya,30.4,2123.5,1,3.74,0.772,61.9,109.0,192.1,80.5,120.1,0.165,0.021,38.9,62.6,54.3,0
Mizoram,34.97,1627.0,3,9.87,0.788,78.1,70.6,179.9,76.9,98.8,0.031,0.01,52.4,47.2,49.0,1
Mizoram,43.74,1554.6,2,3.25,0.681,9.0,202.7,529.0,99.0,127.0,1.892,0.027,69.6,100.0,89.4,1
Sikkim,32.42,3306.9,3,1.15,0.451,2.1,52.0,80.4,41.9,59.5,0.111,0.006,62.7,30.1,41.5,0
Sikkim,52.25,1828.4,3,0.62,0.752,51.4,12.6,19.5,26.6,47.1,0.002,0.025,75.5,12.4,34.4,0
Manipur,24.39,913.4,1,9.12,0.403,7.6,0.3,0.6,5.0,8.8,0.013,0.04,26.1,0.0,9.1,0
Arunachal Pradesh,33.66,2955.3,2,0.26,0.795,89.2,21.9,59.7,34.6,60.8,0.004,0.014,77.2,16.9,38.0,0
Nagaland,27.03,1637.7,3,0.56,0.66,82.0,28.6,59.2,12.0,15.7,0.045,0.062,64.3,16.0,32.9,1
Meghalaya,43.69,1401.7,1,0.3,0.715,71.5,108.2,280.1,99.0,123.9,0.001,0.033,57.6,69.8,65.5,0
Nagaland,39.01,1025.5,3,2.48,0.719,3.1,43.5,115.1,53.0,67.1,0.043,0.012,61.7,33.8,43.5,0
Mizoram,31.37,945.1,3,3.42,0.712,45.8,14.9,28.4,34.2,53.2,0.003,0.008,62.6,12.7,30.2,0
Arunachal Pradesh,34.58,1530.3,2,0.1,0.68,7.8,53.0,111.5,55.7,78.2,0.009,0.1,72.7,38.2,50.3,1
Meghalaya,28.45,1118.1,1,3.26,0.664,92.9,4.4,9.6,41.4,71.3,0.012,0.054,46.2,17.6,27.6,0
Manipur,19.19,647.1,1,2.25,0.606,61.3,10.8,26.8,41.2,65.7,0.024,0.026,35.4,17.0,23.4,0
Meghalaya,31.66,1596.3,2,6.69,0.795,15.7,61.4,125.4,74.1,133.3,0.061,0.009,61.4,49.0,53.3,0
Assam,21.2,998.8,1,7.97,0.784,56.1,15.9,33.5,44.1,76.9,0.11,0.002,23.2,22.3,22.6,0
Meghalaya,26.08,2122.3,2,5.2,0.611,11.9,1.4,2.1,20.8,32.1,0.162,0.003,56.0,6.7,24.0,0
